Bloom Filter Insert times,Cuckoo Filter Insert times,Inverted BF Insert times,Scaling BF Insert times
0.014,0.03,0.048,0.025
1.806,0.911,4.883,5.027
3.669,1.842,9.743,10.547
5.348,2.637,14.594,16.368
7.311,3.679,19.559,22.412
8.883,7.355,24.64,28.194
10.727,5.276,29.394,34.318
12.518,6.287,34.046,40.938
14.271,7.427,39.102,47.608
15.977,9.149,44.71,54.972
,,,
,,,
,,,
Bloom Filter Query times,Cuckoo Filter Query times,Inverted BF Query times,Scaling BF Query times
0.007,0.009,0.039,0.017
0.978,1.003,3.85,8.308
2.225,2.094,7.63,29.186
3.683,3.124,11.408,55.786
5.473,4.274,15.246,98.786
7.003,5.504,19.208,154.614
9.691,6.416,22.866,223.56
11.236,7.537,26.481,302.665
14.242,9.077,30.331,399.114
17.32,10.372,34.363,495.916
,,,
,,,
,,,
Bloom Filter Memory usages,Cuckoo Filter Memory usages,Inverted BF Memory usages,Scaling BF Memory usages
3596,56107,17680,7150
1520,4562821,11730,191366
987,9083877,11463,760305
1015,14374277,11483,760281
1015,18124293,11475,760281
1015,21727429,11471,760281
1015,28708613,11471,3083378
1015,32506149,11483,3083354
1015,36211109,11487,3083354
1015,39843301,11475,3083354
,,,
,,,
,,,
Bloom Filter False Positive Rates,Cuckoo Filter False Positive Rates,Inverted BF False Positive Rates,Scaling BF False Positive Rates
0.1,0,0,2.1
0.083,0,0,3.637
0.098,0,0,4.295
0.1,0.01,0,4.018
0.103,0,0,4.309
0.09,0,0,4.529
0.106,0.01,0,4.626
0.091,0,0,4.684
0.098,0,0,4.813
0.101,0,0,4.774
